"","2152.83053134674","3466.78692052617","5443.58485817485","6283.27394293688","8491.24748513954"
"infectado_1",1.75098724136712e-05,0.000112377944318718,9.1149301324062e-05,0.000233625901685114,6.50306712796345e-05
"infectado_2",1.78948551208505e-05,0.000128352783617601,4.76474668324636e-05,0.000503230349871486,8.90467019046146e-05
"infectado_3",1.59400276044956e-05,0.000148332671095426,9.85704090560993e-05,0.000226204436681021,2.6132499058393e-05
"infectado_4",1.97442530362966e-05,0.000180778726512236,0.000113475059774978,0.000311130414198599,4.48827380908341e-05
"infectado_5",2.08496712995438e-05,0.000201494064497535,9.11340483564348e-05,0.000319273717383078,2.96078887179082e-05
"infectado_6",2.05691866346143e-05,0.000193991489721416,9.71815823102846e-05,0.000234263544806012,2.30485112564696e-05
"infectado_7",3.37818594081606e-05,6.38536994815363e-05,0.000140176591638613,0.000193290725241283,4.09815683272906e-05
"infectado_8",9.10735080899698e-06,0.00010109113633876,0.000284205847038129,0.000253823251084156,5.21230262496665e-05
"infectado_9",1.66748302686888e-05,0.000121297945270807,0.000189132636273544,0.000312547471520225,6.71064591622894e-05
"no infectado_1",8.45886060015746e-05,0.000477504520590136,1.28125007958068e-05,0.000116040408644482,1.18567797769369e-05
"no infectado_10",0.000126765075297859,0.000521013706746806,1.51704654052258e-05,9.87152765532845e-05,1.61371826097808e-05
"no infectado_2",5.92912027752705e-05,0.000263555866496455,1.66601694886085e-05,8.2316322594823e-05,1.75302239800808e-05
"no infectado_3",0.000227609639298867,0.000266142907356103,1.96866136756227e-05,9.04279682955851e-05,1.36303005473913e-05
"no infectado_4",0.00024142809214019,0.00022409432420692,1.93283852178359e-05,0.000100260100601578,1.571486289515e-05
"no infectado_5",5.01860117401379e-05,0.000246765209330708,1.3616979127634e-05,0.000180625565056877,9.47121218764453e-06
"no infectado_6",5.91898934602127e-05,0.000365159417025225,1.48858348368663e-05,3.57109075392671e-05,1.50333676454767e-05
"no infectado_7",6.09695964323054e-05,0.000307615294092048,1.51995367735472e-05,0.000151115616734054,1.07123569794946e-05
"no infectado_8",4.5812430021737e-05,0.000295660188870248,2.823314191362e-05,0.00015996373021392,1.49411486739566e-05
"no infectado_9",7.10512840391342e-05,0.00029455560610014,1.70250117693162e-05,6.58407919864818e-05,1.48504035728076e-05
